Project ID,Task ID,Duration (hours),Required Skill,Dependencies,Completed
0,1,41,design,None,Yes
0,2,57,frontend,1,Yes
0,3,66,frontend,"1, 2",Yes
0,4,52,design,"3, 2",Yes
0,5,12,design,"2, 3, 1",Yes
0,6,34,frontend,5,Yes
0,7,71,backend,"1, 2, 6, 5, 4, 3",Yes
0,8,51,backend,"7, 6, 1, 5, 3, 4",Yes
0,9,72,frontend,"1, 4, 5",Yes
0,10,11,design,6,Yes
0,11,12,marketing,"5, 1, 10, 9, 4, 2",Yes
0,12,27,design,"5, 7, 8, 6, 11, 9, 4, 1, 3, 10",Yes
0,13,46,frontend,"4, 9, 5, 10, 2, 8, 7, 6, 12, 1",Yes
0,14,55,marketing,"11, 1, 4, 3, 5, 10",Yes
0,15,10,marketing,"13, 12, 4, 5, 2",Yes
0,16,46,frontend,"10, 14, 2, 7, 12, 6, 4",Yes
0,17,19,marketing,"6, 1, 13, 5, 10, 4",Yes
0,18,46,frontend,"15, 10, 2, 5, 7, 8, 12, 13, 14, 9, 1, 16",No
1,19,60,backend,None,Yes
1,20,48,marketing,19,Yes
1,21,46,frontend,None,Yes
1,22,19,marketing,"20, 19",Yes
1,23,62,design,"20, 19, 21",Yes
1,24,52,marketing,None,Yes
1,25,36,design,24,Yes
1,26,39,design,22,Yes
1,27,5,frontend,"19, 24, 21, 20, 23",Yes
1,28,33,backend,"27, 24, 22, 26, 20, 23",Yes
1,29,72,design,"24, 19, 21, 20, 22, 26",Yes
2,30,19,backend,None,Yes
2,31,14,design,None,Yes
2,32,43,frontend,31,Yes
2,33,27,marketing,31,Yes
2,34,72,design,30,Yes
2,35,56,frontend,31,Yes
2,36,42,marketing,35,Yes
2,37,51,frontend,34,Yes
2,38,3,marketing,"34, 35, 32, 31, 30, 33",Yes
2,39,22,frontend,"33, 30, 36, 34, 32, 31, 38, 37",Yes
2,40,7,design,35,Yes
3,41,46,marketing,None,Yes
3,42,6,marketing,41,Yes
3,43,50,frontend,"41, 42",Yes
3,44,65,backend,"43, 41, 42",Yes
3,45,18,design,42,Yes
3,46,43,design,"43, 42, 41, 44, 45",Yes
3,47,35,frontend,43,Yes
3,48,57,backend,43,Yes
3,49,33,design,"41, 47, 44, 43",Yes
3,50,18,frontend,None,Yes
3,51,25,frontend,"49, 47, 50, 42, 41, 48, 46, 45, 44",Yes
3,52,56,frontend,"49, 48, 41",Yes
3,53,5,marketing,None,Yes
3,54,17,marketing,"41, 49, 42, 46, 47",Yes
4,55,8,backend,None,Yes
4,56,69,backend,None,Yes
4,57,70,marketing,"56, 55",Yes
4,58,21,design,"57, 55, 56",Yes
4,59,15,frontend,"57, 58, 56",Yes
5,60,10,design,None,Yes
5,61,45,marketing,60,Yes
5,62,10,frontend,61,Yes
5,63,7,design,61,Yes
5,64,32,backend,None,Yes
5,65,4,design,"62, 63, 60, 61, 64",Yes
5,66,57,backend,None,Yes
5,67,67,marketing,"64, 66, 65, 62",Yes
5,68,26,frontend,"67, 65, 62, 63, 64, 66, 61, 60",Yes
5,69,46,frontend,"61, 67, 63, 64, 62, 66, 65",Yes
5,70,26,design,None,Yes
5,71,35,design,"62, 70, 68, 66, 69",Yes
5,72,49,backend,"68, 69, 61, 63, 62, 65, 67, 66, 71",Yes
5,73,48,marketing,"61, 72",Yes
5,74,53,backend,"65, 66, 68, 60, 69, 61, 70, 63, 71, 67, 62",Yes
5,75,41,backend,"70, 74, 62, 69, 71, 68, 60, 63, 72, 61, 65, 66, 73, 67, 64",Yes
6,76,47,marketing,None,Yes
6,77,5,design,76,Yes
6,78,23,design,"77, 76",Yes
6,79,48,frontend,"77, 76, 78",Yes
6,80,68,frontend,"79, 77, 76",Yes
6,81,21,marketing,79,Yes
6,82,25,design,"81, 79, 80, 77, 76, 78",Yes
6,83,31,marketing,None,Yes
6,84,28,design,"77, 83",Yes
6,85,6,design,None,Yes
6,86,32,marketing,84,Yes
6,87,31,frontend,"82, 79, 83, 81",Yes
6,88,7,backend,"82, 76, 79, 77, 83",Yes
6,89,30,frontend,"87, 88",Yes
6,90,44,design,"80, 86, 84, 77, 88",Yes
6,91,2,design,"83, 78, 81",Yes
6,92,72,design,"89, 79, 81, 90",Yes
6,93,39,backend,"87, 89, 91, 88, 90, 85, 92, 82, 80, 78",Yes
7,94,38,marketing,None,Yes
7,95,44,marketing,None,Yes
7,96,4,marketing,95,Yes
7,97,12,frontend,95,Yes
7,98,49,design,None,Yes
7,99,32,frontend,96,Yes
7,100,56,frontend,"97, 96, 99",Yes
7,101,14,backend,"99, 96, 94, 97",Yes
7,102,5,design,"97, 100",Yes
7,103,66,design,"98, 94, 100, 97, 102, 95, 101, 96",Yes
7,104,29,frontend,"99, 98, 103, 100, 97",Yes
7,105,33,marketing,"96, 100, 97, 94",Yes
7,106,25,backend,"102, 101, 96, 105, 98, 99, 100, 94, 97, 104, 95",Yes
7,107,19,design,None,Yes
7,108,58,design,"106, 107, 97, 104, 102",Yes
7,109,41,frontend,"103, 102, 96, 94",Yes
7,110,14,frontend,"108, 104, 105, 97, 94",Yes
